id,name,flag
1,Afeganistão,🇦🇫
2,Ilhas Aland,🇦🇽
3,Albânia,🇦🇱
4,Argélia,🇩🇿
5,Samoa Americana,🇦🇸
6,Andorra,🇦🇩
7,Angola,🇦🇴
8,Anguila,🇦🇮
9,Antártica,🇦🇶
10,Antígua e Barbuda,🇦🇬
11,Argentina,🇦🇷
12,Armênia,🇦🇲
13,Aruba,🇦🇼
14,Austrália,🇦🇺
15,Áustria,🇦🇹
16,Azerbaijão,🇦🇿
18,Bahrein,🇧🇭
19,Bangladesh,🇧🇩
20,Barbados,🇧🇧
21,Bielorrússia,🇧🇾
22,Bélgica,🇧🇪
23,Belize,🇧🇿
24,Benin,🇧🇯
25,Bermudas,🇧🇲
26,Butão,🇧🇹
27,Bolívia,🇧🇴
155,"Bonaire, Santo Eustáquio e Saba",🇧🇶
28,Bósnia e Herzegovina,🇧🇦
29,Botsuana,🇧🇼
30,Ilha Bouvet,🇧🇻
31,Brasil,🇧🇷
32,Território Britânico do Oceano Índico,🇮🇴
33,Brunei,🇧🇳
34,Bulgária,🇧🇬
35,Burquina Faso,🇧🇫
36,Burundi,🇧🇮
37,Camboja,🇰🇭
38,Camarões,🇨🇲
39,Canadá,🇨🇦
40,Cabo Verde,🇨🇻
41,Ilhas Cayman,🇰🇾
42,República Centro-Africana,🇨🇫
43,Chade,🇹🇩
44,Chile,🇨🇱
45,China,🇨🇳
46,Ilha Christmas,🇨🇽
47,Ilhas Cocos (Keeling),🇨🇨
48,Colômbia,🇨🇴
49,Comores,🇰🇲
50,Congo,🇨🇬
52,Ilhas Cook,🇨🇰
53,Costa Rica,🇨🇷
54,Costa do Marfim,🇨🇮
55,Croácia,🇭🇷
56,Cuba,🇨🇺
249,Curaçao,🇨🇼
57,Chipre,🇨🇾
58,República Tcheca,🇨🇿
51,República Democrática do Congo,🇨🇩
59,Dinamarca,🇩🇰
60,Djibuti,🇩🇯
61,Dominica,🇩🇲
62,República Dominicana,🇩🇴
63,Timor-Leste,🇹🇱
